HOUSEHOLD_ID,REGION,COUNTRY,ENERGY_SOURCE,MONTHLY_USAGE_KWH,YEAR,HOUSEHOLD_SIZE,INCOME_LEVEL,URBAN_RURAL,ADOPTION_YEAR,SUBSIDY_RECEIVED,COST_SAVINGS_USD
H02378,North America,USA,Solar,107.008,2022,7,Low,Rural,2012,No,291.447
H04396,Europe,France,Hydro,101.64,2021,6,Low,Urban,2010,No,224.262
H03863,North America,USA,Wind,247.852,2023,2,Low,Rural,2012,No,208.278
H00024,South America,Chile,Geothermal,607.574,2023,2,Low,Rural,2014,Yes,293.175
H02634,South America,Colombia,Biomass,1032.669,2022,4,Low,Urban,2021,Yes,389.565
H03341,Europe,Germany,Hydro,174.471,2023,1,Low,Rural,2019,Yes,181.962
H00712,Africa,Ghana,Wind,1177.506,2024,6,Low,Rural,2023,No,391.932
H02802,Africa,Kenya,Hydro,398.992,2020,4,Low,Rural,2020,Yes,393.813
H03753,Europe,Italy,Biomass,190.85,2020,8,Low,Urban,2018,Yes,383.76
H03182,South America,Brazil,Wind,319.77,2021,3,Low,Rural,2014,Yes,28.035
H04184,Asia,South Korea,Solar,1480.93,2023,3,Low,Urban,2021,Yes,395.847
H01616,North America,USA,Wind,569.657,2023,1,Low,Rural,2019,Yes,203.949
H00764,Europe,Spain,Biomass,1469.897,2022,6,Low,Urban,2015,No,194.571
H04798,South America,Peru,Wind,1300.013,2020,8,Low,Urban,2012,No,207.306
H03850,South America,Chile,Hydro,559.317,2024,2,Low,Urban,2014,Yes,354.843
H01296,North America,Canada,Solar,1195.37,2024,4,Low,Urban,2012,No,314.334
H00374,South America,Brazil,Biomass,862.213,2022,2,Low,Urban,2011,Yes,336.195
H01670,Africa,Nigeria,Biomass,62.447,2021,7,Low,Rural,2019,Yes,312.219
H04440,North America,USA,Biomass,139.678,2021,5,Low,Urban,2015,No,169.443
H00466,Europe,Italy,Hydro,1518.638,2023,7,Low,Rural,2022,Yes,429.723
H01339,South America,Colombia,Hydro,437.767,2024,5,Low,Urban,2022,Yes,148.338
H01371,Asia,India,Wind,1404.81,2022,1,Low,Rural,2014,Yes,366.849
H00200,Asia,Indonesia,Hydro,1502.523,2022,6,Low,Urban,2017,Yes,65.88
H04750,North America,USA,Hydro,532.521,2022,8,Low,Rural,2013,No,107.586
H03151,South America,Brazil,Hydro,539.957,2022,5,Low,Rural,2021,Yes,63.711
H03969,Australia,New Zealand,Geothermal,731.511,2020,2,Low,Rural,2020,Yes,447.876
H03822,Asia,South Korea,Wind,1627.725,2021,2,Low,Urban,2011,No,417.402
H04488,South America,Brazil,Biomass,662.684,2020,5,Low,Rural,2013,Yes,414.684
H03581,North America,Mexico,Biomass,172.92,2021,4,Low,Rural,2017,Yes,289.206
H04903,South America,Colombia,Biomass,660.341,2022,1,Low,Urban,2012,Yes,16.92
H00009,North America,Canada,Solar,576.686,2021,1,Low,Urban,2011,No,147.582
H00145,Australia,New Zealand,Hydro,835.351,2020,4,Low,Urban,2010,Yes,153.684
H02105,Asia,South Korea,Geothermal,330.462,2020,4,Low,Rural,2015,No,9.414
H00842,Europe,France,Wind,1235.201,2024,2,Low,Urban,2020,Yes,94.806
H03592,South America,Argentina,Wind,1324.763,2020,5,Low,Urban,2013,Yes,383.796
H01053,Asia,India,Solar,761.178,2021,2,Low,Urban,2018,No,388.728
H02030,North America,Canada,Wind,487.091,2023,7,Low,Rural,2020,No,381.69
H01808,North America,Canada,Hydro,157.784,2022,4,Low,Urban,2022,No,242.739
H02697,North America,Canada,Biomass,1583.747,2021,4,Low,Rural,2021,No,358.596
H00473,South America,Argentina,Wind,1370.589,2023,7,Low,Urban,2014,Yes,218.826
H03497,Africa,Ghana,Wind,1324.763,2022,5,Low,Rural,2018,Yes,278.64
H04625,Africa,Ghana,Solar,722.414,2020,6,Low,Urban,2010,Yes,419.877
H03571,Asia,Japan,Solar,1009.283,2022,3,Low,Rural,2010,Yes,333.936
H03685,Asia,Indonesia,Hydro,1308.098,2020,6,Low,Urban,2014,No,235.332
H00830,Europe,Germany,Wind,891.154,2020,6,Low,Urban,2011,Yes,226.233
H00765,Australia,Australia,Hydro,1420.892,2022,4,Low,Rural,2020,Yes,103.203
H04329,Africa,South Africa,Wind,1090.551,2022,5,Low,Rural,2020,Yes,372.978
H02195,North America,Mexico,Biomass,666.094,2023,5,Low,Rural,2012,Yes,25.929
H03426,Africa,Ghana,Biomass,714.428,2022,1,Low,Urban,2012,Yes,332.1
H04077,Europe,Spain,Wind,1296.779,2022,5,Low,Urban,2015,Yes,251.577
H02371,Africa,Kenya,Wind,480.37,2022,2,Low,Rural,2014,Yes,31.482
H01021,North America,USA,Geothermal,1547.579,2024,5,Low,Rural,2021,Yes,97.272
H00734,Asia,China,Solar,327.723,2024,3,Low,Urban,2014,No,73.953
H04583,South America,Colombia,Hydro,1595.374,2023,6,Low,Urban,2019,No,375.84
H01621,Asia,Japan,Wind,482.779,2022,1,Low,Rural,2020,No,64.935
H03136,Australia,Australia,Hydro,795.344,2023,5,Low,Urban,2023,Yes,444.645
H02690,Africa,Nigeria,Hydro,1430.407,2023,4,Low,Rural,2023,No,410.562
H00298,Asia,Indonesia,Biomass,917.664,2023,8,Low,Rural,2018,No,278.865
H02340,Australia,Australia,Hydro,1148.686,2024,4,Low,Urban,2013,Yes,184.329
H00654,Africa,Ghana,Solar,1160.951,2021,3,Low,Rural,2014,Yes,278.748
H01256,Australia,Australia,Wind,1325.39,2023,5,Low,Urban,2011,No,396.63
H00231,Asia,India,Geothermal,832.755,2024,8,Low,Rural,2017,No,154.341
H03231,Africa,Kenya,Biomass,188.1,2023,6,Low,Rural,2018,Yes,406.557
H00692,Australia,Australia,Wind,1044.032,2020,7,Low,Rural,2012,No,35.694
H00634,South America,Peru,Biomass,1342.572,2021,1,Low,Rural,2017,No,435.375
H04078,Africa,South Africa,Geothermal,441.848,2022,6,Low,Urban,2014,Yes,16.362
H01322,South America,Chile,Wind,186.032,2023,4,Low,Rural,2013,No,429.93
H01832,Europe,Italy,Wind,498.19,2024,1,Low,Rural,2020,Yes,40.878
H01783,Europe,UK,Geothermal,1027.774,2023,7,Low,Rural,2020,Yes,79.695
H04716,Africa,Kenya,Wind,424.941,2022,7,Low,Rural,2010,No,233.37
H04702,Asia,Japan,Solar,794.607,2022,6,Low,Rural,2022,No,30.114
H00706,Africa,Egypt,Hydro,329.352,2022,7,Middle,Rural,2010,No,52.784
H02465,Europe,Germany,Wind,462.42,2024,8,Middle,Urban,2018,No,152.728
H00229,Europe,France,Hydro,1579.08,2023,7,Middle,Rural,2015,Yes,247.904
H00916,Asia,South Korea,Wind,72.144,2020,5,Middle,Rural,2019,Yes,356.088
H00795,South America,Chile,Geothermal,1201.704,2021,8,Middle,Urban,2021,Yes,386.728
H00927,Australia,New Zealand,Solar,1057.044,2024,4,Middle,Urban,2020,No,387.168
H01118,Europe,Italy,Hydro,156.792,2021,4,Middle,Urban,2010,No,336.632
H00502,Africa,Ghana,Biomass,71.928,2020,8,Middle,Rural,2014,Yes,11.352
H00394,Australia,Australia,Wind,1274.496,2022,5,Middle,Urban,2015,No,67.264
H04316,Australia,Australia,Biomass,153.936,2020,3,Middle,Urban,2015,Yes,108.488
H03907,Australia,Australia,Biomass,1428.912,2022,4,Middle,Rural,2011,Yes,124.096
H02660,Africa,Kenya,Geothermal,1067.844,2024,4,Middle,Rural,2020,No,187.544
H04616,Europe,France,Hydro,1696.752,2024,1,Middle,Rural,2011,Yes,259.288
H02847,Africa,Egypt,Wind,386.352,2024,2,Middle,Urban,2021,No,219.256
H01145,Africa,Ghana,Wind,791.688,2020,1,Middle,Urban,2011,No,326.68
H00169,Asia,India,Biomass,1365.72,2023,2,Middle,Urban,2021,No,21.776
H04258,Asia,India,Geothermal,688.248,2023,1,Middle,Urban,2018,No,111.968
H02216,South America,Colombia,Wind,1328.556,2022,2,Middle,Rural,2016,Yes,95.592
H03683,Asia,India,Solar,1766.952,2023,2,Middle,Rural,2013,No,62.928
H04725,Australia,New Zealand,Solar,1098.312,2020,6,Middle,Rural,2014,Yes,190.544
H00297,Asia,India,Wind,424.608,2021,8,Middle,Urban,2013,No,358.184
H01002,South America,Chile,Biomass,170.004,2020,7,Middle,Rural,2018,No,269.376
H02139,Asia,India,Solar,576.456,2023,3,Middle,Urban,2013,No,249.872
H03322,North America,Mexico,Geothermal,1579.032,2021,1,Middle,Urban,2010,No,324.912
H04154,Asia,Indonesia,Hydro,1357.236,2024,6,Middle,Urban,2020,Yes,193.928
H00158,North America,Canada,Geothermal,374.916,2024,6,Middle,Rural,2022,Yes,232.44
H00498,Africa,Egypt,Biomass,1653.384,2023,5,Middle,Urban,2019,No,152.624
H04741,Asia,Japan,Solar,234.696,2020,1,Middle,Rural,2013,No,23.304
H02941,North America,Mexico,Biomass,1631.796,2020,3,Middle,Rural,2018,Yes,54.064
H03457,Europe,Spain,Wind,948.492,2024,7,Middle,Rural,2015,Yes,374.296
H00080,Asia,Indonesia,Geothermal,1439.112,2020,3,Middle,Urban,2013,Yes,357.04
H02132,South America,Peru,Solar,419.028,2023,8,Middle,Rural,2018,No,233.472
H00932,Africa,Ghana,Biomass,330.72,2021,3,Middle,Urban,2010,No,267.92
H04210,Australia,Australia,Biomass,823.128,2023,4,Middle,Urban,2021,Yes,296.616
H00743,Australia,Australia,Wind,104.832,2024,3,Middle,Urban,2023,Yes,236.136
H02324,Asia,China,Wind,707.652,2021,5,Middle,Rural,2017,Yes,360.352
H02124,Australia,Australia,Wind,393.192,2021,5,Middle,Urban,2015,No,209.048
H02352,North America,Mexico,Solar,647.196,2024,5,Middle,Urban,2010,Yes,191.24
H01058,Asia,South Korea,Solar,1114.368,2020,7,Middle,Rural,2017,No,203.296
H04817,Africa,Egypt,Solar,444.732,2021,1,Middle,Rural,2017,Yes,378.312
H02221,Europe,UK,Solar,819.012,2020,3,Middle,Rural,2016,No,38.344
H04257,Africa,South Africa,Wind,1787.784,2020,5,Middle,Urban,2017,No,392.096
H01974,Europe,Spain,Biomass,515.016,2021,7,Middle,Urban,2016,No,96.4
H04063,South America,Brazil,Solar,1312.128,2022,2,Middle,Rural,2016,No,225.56
H00180,North America,USA,Geothermal,90.576,2022,5,Middle,Rural,2010,Yes,233.984
H04879,Australia,New Zealand,Hydro,366.684,2021,5,Middle,Rural,2012,No,119.776
H02888,Asia,China,Geothermal,1749.24,2020,1,Middle,Urban,2019,Yes,337.76
H01420,Australia,Australia,Geothermal,1128.384,2021,7,Middle,Rural,2014,No,258.424
H03908,Australia,Australia,Biomass,1712.916,2022,8,Middle,Rural,2010,Yes,64.256
H04674,Asia,Japan,Biomass,358.32,2022,6,Middle,Rural,2016,No,86.76
H01861,Europe,Spain,Biomass,1319.304,2021,6,Middle,Urban,2014,No,86.256
H02848,South America,Argentina,Biomass,226.2,2021,5,Middle,Urban,2017,No,268.576
H03144,Africa,Egypt,Geothermal,1772.412,2020,4,Middle,Rural,2015,Yes,12.96
H01129,Europe,Spain,Geothermal,1586.496,2023,4,Middle,Rural,2017,Yes,317.24
H00152,South America,Colombia,Wind,1616.544,2022,6,Middle,Urban,2014,No,202.512
H03419,South America,Colombia,Geothermal,921.744,2021,6,Middle,Urban,2014,Yes,310.248
H03040,South America,Peru,Solar,119.94,2022,3,Middle,Rural,2018,No,302.872
H01742,Asia,China,Hydro,180.72,2021,5,Middle,Rural,2010,No,300.72
H02887,North America,Mexico,Solar,1030.38,2022,6,Middle,Rural,2010,No,392.696
H01942,North America,Canada,Geothermal,1545.876,2020,3,Middle,Rural,2015,Yes,99.52
H03662,North America,Canada,Hydro,1436.04,2022,3,Middle,Urban,2014,No,131.656
H01887,Europe,Italy,Biomass,1484.568,2024,5,Middle,Urban,2012,No,291.096
H00682,Australia,Australia,Wind,396.024,2024,5,Middle,Urban,2018,Yes,239.96
H03795,North America,USA,Solar,1326.96,2022,7,Middle,Urban,2019,No,309.088
H01097,Australia,Australia,Wind,741.36,2024,2,Middle,Rural,2015,No,362.56
H02806,South America,Colombia,Hydro,651.696,2021,6,Middle,Rural,2017,Yes,23.016
H03830,South America,Peru,Solar,1629.72,2023,7,Middle,Urban,2013,Yes,145.352
H04382,North America,Canada,Biomass,483.312,2022,6,Middle,Urban,2021,No,314.536
H03892,Asia,Indonesia,Biomass,1027.56,2020,5,Middle,Urban,2017,Yes,67.56
H00912,North America,Canada,Solar,439.992,2024,7,Middle,Rural,2022,No,60.672
H03146,Australia,Australia,Wind,1755.684,2020,6,Middle,Urban,2018,Yes,396.648
H01000,Australia,Australia,Hydro,989.352,2024,2,Middle,Rural,2017,No,109.736
H04839,Africa,Nigeria,Hydro,825.636,2024,3,Middle,Urban,2016,No,34.56
H03275,Africa,Egypt,Solar,1157.016,2020,8,Middle,Urban,2011,No,341.144
H02708,South America,Peru,Wind,60.996,2022,3,Middle,Urban,2014,No,297.04
H03277,Africa,Nigeria,Biomass,1702.2,2020,3,Middle,Urban,2012,No,26.64
H02755,Australia,Australia,Biomass,1564.176,2022,6,Middle,Urban,2021,No,268.872
H04864,South America,Colombia,Solar,1343.484,2023,7,Middle,Urban,2015,Yes,282.376
H01653,Asia,South Korea,Hydro,1112.904,2021,7,Middle,Urban,2015,Yes,105.552
H02276,Asia,South Korea,Geothermal,608.388,2024,7,Middle,Urban,2012,Yes,336.088
H02587,Australia,Australia,Geothermal,793.013,2024,4,High,Rural,2023,No,30.443
H01056,South America,Colombia,Biomass,818.571,2024,7,High,Urban,2023,No,330.995
H00107,South America,Brazil,Biomass,488.787,2022,2,High,Urban,2011,No,14.651
H00590,Africa,Ghana,Geothermal,711.75,2020,8,High,Rural,2012,Yes,15.393
H01601,South America,Argentina,Geothermal,1107.301,2023,8,High,Urban,2019,Yes,75.663
H03544,Africa,South Africa,Geothermal,993.746,2022,7,High,Rural,2022,No,273.798
H03352,Asia,Indonesia,Hydro,778.323,2022,3,High,Rural,2012,Yes,127.155
H01085,Europe,Spain,Solar,437.385,2022,2,High,Rural,2013,No,342.811
H03050,Africa,Ghana,Solar,1704.534,2020,1,High,Rural,2018,No,62.272
H00643,Asia,Indonesia,Solar,161.772,2020,6,High,Rural,2013,Yes,152.383
H04067,Africa,Nigeria,Geothermal,1540.903,2022,7,High,Urban,2014,Yes,18.137
H00334,North America,USA,Solar,644.969,2020,3,High,Urban,2011,Yes,214.025
H04685,Africa,Egypt,Wind,1707.849,2020,8,High,Rural,2014,No,27.139
H00487,South America,Colombia,Hydro,1576.107,2023,8,High,Rural,2023,No,244.769
H03586,Asia,Japan,Hydro,477.23,2020,6,High,Rural,2014,Yes,19.474
H04967,Australia,New Zealand,Solar,515.788,2020,5,High,Urban,2014,No,274.694
H02100,North America,USA,Biomass,297.18,2024,2,High,Rural,2014,Yes,130.494
H00030,Australia,New Zealand,Geothermal,1578.135,2024,5,High,Urban,2016,No,218.876
H00066,Africa,Kenya,Solar,1908.829,2023,1,High,Rural,2010,Yes,109.795
H00839,North America,Mexico,Solar,179.543,2022,2,High,Rural,2013,No,152.761
H04636,Australia,Australia,Geothermal,623.896,2022,6,High,Urban,2011,Yes,110.642
H03079,North America,USA,Biomass,1746.706,2023,7,High,Rural,2021,No,188.16
H01104,Australia,Australia,Solar,580.957,2024,8,High,Urban,2017,Yes,298.809
H01671,Europe,UK,Wind,734.734,2021,6,High,Urban,2015,Yes,277.718
H01908,South America,Peru,Geothermal,1934.088,2023,7,High,Urban,2023,Yes,195.09
H00085,South America,Brazil,Geothermal,1387.737,2023,6,High,Urban,2022,Yes,104.195
H00228,South America,Peru,Geothermal,340.73,2022,6,High,Rural,2011,No,24.458
H02528,Europe,France,Wind,1318.499,2023,1,High,Urban,2023,No,271.775
H03025,South America,Peru,Geothermal,807.235,2021,4,High,Rural,2014,Yes,147.301
H01414,South America,Peru,Solar,982.644,2020,1,High,Rural,2016,No,66.353
H00656,Europe,Spain,Wind,1041.898,2021,2,High,Urban,2018,No,282.772
H00469,North America,Mexico,Biomass,1738.477,2021,8,High,Rural,2013,No,50.442
H01554,Europe,UK,Solar,803.218,2022,2,High,Rural,2011,No,41.867
H00249,North America,USA,Wind,1493.037,2024,7,High,Urban,2011,Yes,161.049
H01336,South America,Argentina,Biomass,854.711,2024,8,High,Rural,2013,Yes,122.234
H04525,South America,Chile,Wind,89.661,2021,7,High,Urban,2021,No,156.023
H01407,Europe,France,Geothermal,1826.045,2020,6,High,Rural,2012,Yes,168.224
H01091,Asia,Indonesia,Hydro,157.066,2022,6,High,Rural,2010,Yes,119
H03602,Australia,New Zealand,Wind,943.41,2022,7,High,Rural,2015,No,126.336
H02095,North America,Canada,Hydro,375.401,2020,8,High,Rural,2017,Yes,173.264
H00241,Africa,Ghana,Hydro,701.194,2023,3,High,Urban,2021,No,276.927
H02281,North America,USA,Solar,745.251,2020,7,High,Urban,2019,No,143.661
H04772,Africa,Ghana,Biomass,839.007,2020,3,High,Urban,2012,No,161.945
H02820,Europe,Spain,Biomass,1695.772,2023,6,High,Rural,2014,Yes,150.003
H03108,North America,Canada,Biomass,805.675,2022,7,High,Urban,2012,No,73.283
H01376,Australia,New Zealand,Solar,401.037,2020,7,High,Urban,2011,Yes,236.39
H04446,Europe,Spain,Hydro,641.68,2022,5,High,Urban,2010,Yes,224.952
H03558,Asia,Japan,Biomass,1278.823,2023,4,High,Rural,2011,No,41.538
H00965,South America,Argentina,Biomass,1894.23,2022,6,High,Rural,2020,No,170.198
H03699,South America,Brazil,Hydro,1701.193,2023,7,High,Rural,2013,No,27.062
H03900,Africa,Ghana,Solar,1142.648,2021,1,High,Rural,2014,Yes,250.327
H03239,Africa,Ghana,Biomass,560.742,2024,3,High,Urban,2019,Yes,238.063
H02975,Asia,South Korea,Wind,253.89,2022,3,High,Rural,2016,No,93.044
H02576,Asia,Japan,Geothermal,614.913,2020,5,High,Rural,2015,No,71.883
H02895,North America,Canada,Wind,267.826,2020,5,High,Rural,2016,No,292.565
H03665,Europe,Spain,Biomass,973.583,2022,4,High,Rural,2019,Yes,254.261
H01591,Africa,Egypt,Wind,1547.455,2020,2,High,Rural,2010,Yes,263.123
H03009,South America,Peru,Hydro,1275.053,2021,1,High,Rural,2014,Yes,244.125
H03290,Africa,Ghana,Hydro,453.297,2022,7,High,Urban,2017,Yes,283.71
H04075,North America,USA,Wind,627.289,2022,1,High,Urban,2016,No,97.468
H00280,Australia,Australia,Solar,209.43,2021,8,High,Rural,2014,No,129.675
H00101,North America,Canada,Hydro,668.2,2021,2,High,Rural,2014,No,133.952
H02805,Australia,Australia,Hydro,1481.376,2020,1,High,Urban,2012,No,54.74
H00531,Asia,Japan,Solar,1288.742,2023,2,High,Rural,2015,No,338.653
H03945,North America,Canada,Wind,322.426,2021,1,High,Rural,2015,No,32.144
H04667,Australia,New Zealand,Hydro,536.692,2022,1,High,Urban,2011,No,349.671
H02019,North America,Mexico,Solar,1319.305,2022,1,High,Rural,2022,No,128.051
H02768,South America,Colombia,Solar,1697.306,2021,4,High,Urban,2010,Yes,148.512
H03296,North America,Mexico,Biomass,1217.45,2022,8,High,Rural,2022,Yes,91.994
H02358,Australia,New Zealand,Solar,437.671,2024,4,High,Urban,2016,No,226.751
H03980,Europe,Germany,Biomass,1806.233,2024,8,High,Urban,2020,No,98.826
H03654,Australia,Australia,Hydro,1067.066,2023,2,High,Urban,2016,No,241.829
H02484,Asia,India,Geothermal,824.668,2023,5,High,Rural,2022,Yes,65.709
H00034,Asia,Japan,Biomass,295.815,2022,2,High,Urban,2010,No,199.535
H03790,South America,Chile,Solar,267.826,2021,5,High,Urban,2021,No,94.381
H01648,Asia,Indonesia,Biomass,1412.684,2023,1,High,Rural,2023,No,165.172
H03775,Australia,Australia,Solar,425.516,2024,2,High,Urban,2024,No,75.369
H04521,Europe,France,Hydro,895.375,2021,2,High,Rural,2010,Yes,116.774
H00970,South America,Chile,Biomass,1438.255,2024,8,High,Urban,2021,No,336.322
H04093,Asia,Japan,Biomass,1624.207,2022,3,High,Rural,2022,Yes,76.531
H02179,Asia,Japan,Biomass,77.818,2022,4,High,Rural,2016,No,123.242
H01418,Europe,UK,Biomass,827.138,2024,7,High,Urban,2024,Yes,130.249
H04119,Asia,China,Geothermal,845.754,2023,7,High,Urban,2015,No,31.381
H01484,Europe,France,Geothermal,302.393,2021,4,High,Urban,2017,No,207.921
H00878,North America,Canada,Solar,82.277,2023,5,High,Urban,2015,No,257.32
H00427,Africa,Egypt,Geothermal,145.932,2024,7,Middle,Rural,2014,No,44.736
H01590,North America,Canada,Geothermal,1445.148,2021,4,Middle,Urban,2013,Yes,176.8
H02224,North America,USA,Wind,125.376,2020,2,Middle,Rural,2015,Yes,329.488
H04484,Africa,South Africa,Solar,1618.308,2022,1,Middle,Rural,2018,No,158.696
H02894,South America,Peru,Hydro,1628.148,2022,1,Middle,Rural,2019,No,112.512
H00677,South America,Argentina,Biomass,946.692,2022,7,Middle,Rural,2013,No,181.72
H01834,Australia,New Zealand,Hydro,756.552,2023,5,Middle,Urban,2022,No,125.136
H01425,Europe,Spain,Wind,1036.32,2023,4,Middle,Urban,2018,No,149.392
H03937,Asia,South Korea,Biomass,1283.34,2020,6,Middle,Rural,2012,No,33.92
H03269,Africa,Nigeria,Wind,904.524,2024,1,Middle,Rural,2018,No,307.528
H03065,Asia,India,Wind,364.74,2024,6,Middle,Rural,2024,No,138.536
H02226,Europe,Germany,Hydro,677.868,2023,7,Middle,Urban,2016,Yes,373.128
H04265,South America,Brazil,Biomass,373.236,2020,6,Middle,Rural,2017,No,301.432
H01171,Australia,New Zealand,Geothermal,1754.748,2020,6,Middle,Rural,2010,Yes,50.296
H00472,Africa,Ghana,Wind,80.112,2020,8,Middle,Urban,2016,Yes,189.016
H03226,Europe,Spain,Wind,949.704,2020,3,Middle,Urban,2017,No,321.528
H04505,North America,Canada,Solar,878.412,2023,2,Middle,Urban,2020,No,221.76
H04693,Australia,New Zealand,Geothermal,576.408,2023,3,Middle,Rural,2016,Yes,338.648
H02827,Europe,Spain,Wind,1636.716,2024,5,Middle,Rural,2019,No,253.528
H03626,Europe,Spain,Hydro,1172.352,2022,4,Middle,Rural,2016,Yes,222.832
H02313,South America,Colombia,Solar,1333.788,2024,1,Middle,Rural,2017,Yes,342.888
H00995,Africa,Kenya,Geothermal,327.756,2024,5,Middle,Rural,2015,No,115.344
H02643,North America,USA,Geothermal,1165.56,2023,6,Middle,Urban,2014,No,18.064
H04832,Africa,Nigeria,Biomass,81.216,2024,7,Middle,Rural,2024,No,113.832
H00506,South America,Colombia,Hydro,617.988,2022,3,Middle,Urban,2017,Yes,184.888
H04153,Africa,Ghana,Hydro,1757.52,2023,7,Middle,Urban,2022,No,331.968
H04149,Africa,Egypt,Hydro,933.576,2022,8,Middle,Urban,2013,Yes,23.84
H01184,South America,Peru,Hydro,780.168,2022,5,Middle,Urban,2013,Yes,54.368
H00894,Australia,Australia,Geothermal,1028.928,2022,6,Middle,Urban,2012,Yes,253.976
H00556,Asia,South Korea,Solar,654.816,2021,8,Middle,Rural,2021,No,240.192
H03826,Asia,China,Geothermal,1343.016,2023,2,Middle,Rural,2019,Yes,341.816
H04254,Africa,South Africa,Biomass,155.244,2021,2,Middle,Urban,2012,Yes,184.104
H02222,Asia,Japan,Geothermal,501.06,2020,5,Middle,Rural,2012,No,191.952
H02094,South America,Brazil,Wind,751.308,2024,7,Middle,Rural,2013,Yes,72.2
H02188,South America,Chile,Hydro,64.332,2024,2,Middle,Urban,2014,Yes,31.376
H03919,Australia,New Zealand,Biomass,499.332,2020,4,Middle,Rural,2020,No,127.792
H01273,North America,Canada,Wind,1073.82,2022,2,Middle,Rural,2020,Yes,399.12
H00291,Africa,South Africa,Wind,1451.568,2020,2,Middle,Rural,2010,No,22.72
H03246,North America,Mexico,Wind,574.644,2022,4,Middle,Urban,2011,Yes,113.52
H00351,North America,USA,Wind,707.46,2022,8,Middle,Urban,2015,No,172.688
H02237,North America,Canada,Solar,1786.62,2020,2,Middle,Urban,2015,No,293.744
H00671,Africa,Nigeria,Hydro,112.428,2023,3,Middle,Rural,2011,No,70.904
H03041,South America,Colombia,Solar,991.284,2022,4,Middle,Urban,2014,Yes,274.472
H00430,Africa,Ghana,Hydro,620.22,2022,6,Middle,Urban,2013,Yes,398.664
H03236,Australia,Australia,Biomass,490.752,2021,7,Middle,Urban,2016,No,138.728
H01030,South America,Peru,Wind,604.236,2022,1,Middle,Rural,2021,No,198.776
H04393,Africa,Nigeria,Wind,313.008,2021,7,Middle,Urban,2015,Yes,48.584
H02510,Europe,Spain,Solar,707.316,2021,3,Middle,Rural,2016,No,80.216
H04648,Australia,New Zealand,Wind,661.272,2022,5,Middle,Rural,2013,Yes,309.696
H02451,Asia,Japan,Biomass,1175.412,2022,8,Middle,Rural,2018,No,302.712
H01579,Asia,China,Hydro,1442.964,2022,8,Middle,Urban,2017,No,15.832
H00070,Europe,UK,Hydro,554.724,2021,1,Middle,Rural,2017,Yes,214.264
H02754,Australia,New Zealand,Geothermal,1168.236,2024,6,Middle,Urban,2010,Yes,333.576
H01633,Africa,Kenya,Hydro,258.264,2021,7,Middle,Urban,2012,Yes,253.512
H03107,Europe,France,Wind,1514.412,2023,8,Middle,Urban,2013,No,373.76
H01075,Asia,South Korea,Wind,1780.38,2020,7,Middle,Urban,2016,Yes,357.704
H00788,Europe,France,Hydro,1232.76,2023,3,Middle,Urban,2012,Yes,109.368
H03631,Europe,Germany,Hydro,226.188,2024,2,Middle,Rural,2022,No,387.352
H02122,Australia,New Zealand,Geothermal,1009.512,2021,4,Middle,Rural,2011,Yes,310.88
H01875,Africa,Egypt,Wind,1174.656,2021,8,Middle,Urban,2010,Yes,293.864
H00812,Australia,Australia,Biomass,1516.224,2022,4,Middle,Rural,2015,Yes,72.76
